,date,manip,experimentType,drug,substrate,objective magnification,scale pixel per um,objective immersion,optical index correction,magnetic field correction,cell type,cell subtype,bead type,bead diameter,beads bright spot delta,normal field,ramp field,compression duration,first activation,activation frequency,activation exp,activation type,power,with fluo images,normal field multi images,multi image Z step,loop structure,microscope,comments
0,21-01-2001,DEFAULT,DEFAULT,DEFAULT,DEFAULT,100X,15.8,oil,0.875,1.15,DEFAULT,DEFAULT,M450,DEFAULT,0,5,3_40,1s,,,,,,False,3,500,143_90,metamorph,
1,21-12-2010,M1,optoGen,none,20um fibronectin discs,100X,15.8,oil,0.875,1,3T3,optoRhoA,M450,4503,0,15,,,,,,,,False,3,500,3000,metamorph,on Atchoum
2,21-12-2020,M1,optoGen,none,20um fibronectin discs,100X,15.8,oil,0.875,1,3T3,optoRhoA,M450,4503,0,15,,,,,,,,False,3,500,3000,metamorph,on Atchoum. optimised illumination
3,21-12-2020,M2,optoGen,none,20um fibronectin discs,100X,15.8,oil,0.875,1,3T3,optoRhoA,M450,4503,0,15,,,,,,,,False,3,500,3000,metamorph,on Atchoum. optimised illumination
4,21-12-2020,M3,optoGen,none,20um fibronectin discs,100X,15.8,oil,0.875,1,3T3,optoRhoA,M450,4503,0,15,,,,,,,,False,3,500,3000,metamorph,on Atchoum. optimised illumination
5,22-02-2003,M1,optoGen,none,20um fibronectin discs,100X,15.8,oil,0.875,1,3T3,optoRhoA,M450,4503,0,15,,,,,,,,False,3,500,1500,metamorph,on Atchoum. optimised illumination
6,22-02-2003,M2,optoGen,none,20um fibronectin discs,100X,15.8,oil,0.875,1,3T3,optoRhoA,M450,4503,0,15,,,,,,,,False,3,500,1500,metamorph,on Atchoum. optimised illumination
7,22-02-2003,M3,optoGen,none,20um fibronectin discs,100X,15.8,oil,0.875,1,3T3,optoRhoA,M450,4503,0,15,,,,,,,,False,3,500,1500,metamorph,on Atchoum. optimised illumination
8,22-02-2003,M4,optoGen,none,20um fibronectin discs,100X,15.8,oil,0.875,1,3T3,optoRhoA,M450,4503,0,15,,,,,,,,False,3,500,1500,metamorph,on Atchoum. optimised illumination
9,22-02-2003,M5,optoGen,none,20um fibronectin discs,100X,15.8,oil,0.875,1,3T3,optoRhoA,M450,4503,0,15,,,,,,,,False,3,500,1500,metamorph,on Atchoum. optimised illumination
